Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 02:07:58.501,114436.7,0.003,BTCUSDT
2025-09-30 02:07:58.501,114436.6,0.001,BTCUSDT
2025-09-30 02:07:58.501,114436.6,0.001,BTCUSDT
2025-09-30 02:07:58.504,114436.2,0.002,BTCUSDT
2025-09-30 02:07:58.504,114435.6,0.002,BTCUSDT
2025-09-30 02:07:58.504,114435.0,0.001,BTCUSDT
2025-09-30 02:07:58.504,114435.0,0.002,BTCUSDT
2025-09-30 02:07:58.504,114435.0,0.027,BTCUSDT
2025-09-30 02:07:58.648,114434.6,0.032,BTCUSDT
2025-09-30 02:07:58.651,114434.6,0.147,BTCUSDT
2025-09-30 02:07:58.651,114434.6,0.002,BTCUSDT
2025-09-30 02:07:58.651,114434.6,0.001,BTCUSDT
2025-09-30 02:07:58.651,114434.5,0.001,BTCUSDT
2025-09-30 02:07:58.651,114434.5,0.001,BTCUSDT
2025-09-30 02:07:58.651,114434.4,0.001,BTCUSDT
2025-09-30 02:07:58.651,114434.4,0.002,BTCUSDT
2025-09-30 02:07:58.651,114434.1,0.001,BTCUSDT
2025-09-30 02:07:58.651,114433.8,0.002,BTCUSDT
2025-09-30 02:07:58.651,114433.6,0.002,BTCUSDT
2025-09-30 02:07:58.651,114433.5,0.001,BTCUSDT
2025-09-30 02:07:58.651,114433.3,0.002,BTCUSDT
2025-09-30 02:07:58.651,114433.2,0.002,BTCUSDT
2025-09-30 02:07:58.651,114433.2,0.002,BTCUSDT
2025-09-30 02:07:58.651,114433.1,0.001,BTCUSDT
2025-09-30 02:07:58.651,114432.6,0.002,BTCUSDT
2025-09-30 02:07:58.803,114432.2,0.024,BTCUSDT
2025-09-30 02:07:59.329,114432.1,0.002,BTCUSDT
2025-09-30 02:07:59.329,114432.1,0.011,BTCUSDT
2025-09-30 02:07:59.451,114432.1,0.05,BTCUSDT
2025-09-30 02:07:59.451,114432.1,0.002,BTCUSDT
2025-09-30 02:07:59.451,114432.1,0.029,BTCUSDT
2025-09-30 02:07:59.451,114432.1,0.029,BTCUSDT
2025-09-30 02:07:59.451,114432.1,0.006,BTCUSDT
2025-09-30 02:07:59.451,114432.1,0.05,BTCUSDT
2025-09-30 02:07:59.451,114432.1,0.001,BTCUSDT
2025-09-30 02:07:59.451,114432.1,0.002,BTCUSDT
2025-09-30 02:07:59.451,114432.0,0.002,BTCUSDT
2025-09-30 02:07:59.451,114432.0,0.001,BTCUSDT
2025-09-30 02:07:59.451,114432.0,0.001,BTCUSDT
2025-09-30 02:07:59.482,114432.0,0.002,BTCUSDT
2025-09-30 02:07:59.482,114432.0,0.001,BTCUSDT
2025-09-30 02:07:59.482,114432.0,0.001,BTCUSDT
2025-09-30 02:07:59.482,114432.0,0.001,BTCUSDT
2025-09-30 02:07:59.482,114431.4,0.001,BTCUSDT
2025-09-30 02:07:59.482,114431.4,0.002,BTCUSDT
2025-09-30 02:07:59.482,114431.4,0.001,BTCUSDT
2025-09-30 02:07:59.482,114431.4,0.001,BTCUSDT
2025-09-30 02:07:59.482,114431.3,0.027,BTCUSDT
2025-09-30 02:07:59.482,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.510,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.510,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.510,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.510,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.510,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.510,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.510,114431.2,0.002,BTCUSDT
2025-09-30 02:07:59.542,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.543,114431.3,0.031,BTCUSDT
2025-09-30 02:07:59.543,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.543,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.543,114431.3,0.001,BTCUSDT
2025-09-30 02:07:59.550,114431.3,0.059,BTCUSDT
2025-09-30 02:07:59.550,114431.2,0.003,BTCUSDT
2025-09-30 02:07:59.550,114431.2,0.001,BTCUSDT
2025-09-30 02:07:59.550,114431.2,0.001,BTCUSDT
2025-09-30 02:07:59.550,114431.1,0.001,BTCUSDT
2025-09-30 02:07:59.550,114431.0,0.036,BTCUSDT
2025-09-30 02:07:59.550,114430.9,0.001,BTCUSDT
2025-09-30 02:07:59.550,114430.8,0.001,BTCUSDT
2025-09-30 02:07:59.550,114430.8,0.002,BTCUSDT
2025-09-30 02:07:59.630,114430.4,0.032,BTCUSDT
2025-09-30 02:07:59.709,114430.5,0.001,BTCUSDT
2025-09-30 02:07:59.710,114430.5,0.008,BTCUSDT
2025-09-30 02:07:59.710,114430.5,0.008,BTCUSDT
2025-09-30 02:07:59.710,114430.5,0.001,BTCUSDT
2025-09-30 02:07:59.845,114430.5,0.037,BTCUSDT
2025-09-30 02:07:59.912,114430.4,0.002,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.045,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.045,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.045,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.018,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.001,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.026,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.022,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.011,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.011,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.055,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.055,BTCUSDT
2025-09-30 02:08:00.014,114430.4,0.022,BTCUSDT
2025-09-30 02:08:00.015,114430.4,0.089,BTCUSDT
2025-09-30 02:08:00.019,114430.4,0.001,BTCUSDT
2025-09-30 02:08:00.019,114430.4,0.016,BTCUSDT
2025-09-30 02:08:00.019,114430.4,0.001,BTCUSDT
2025-09-30 02:08:00.019,114430.4,0.003,BTCUSDT
2025-09-30 02:08:00.019,114430.4,0.002,BTCUSDT
2025-09-30 02:08:00.019,114430.3,0.001,BTCUSDT
2025-09-30 02:08:00.019,114430.3,0.001,BTCUSDT
2025-09-30 02:08:00.019,114430.3,0.001,BTCUSDT
2025-09-30 02:08:00.019,114430.2,0.003,BTCUSDT
2025-09-30 02:08:00.019,114430.2,0.002,BTCUSDT
2025-09-30 02:08:00.019,114430.2,0.002,BTCUSDT
2025-09-30 02:08:00.019,114430.0,0.002,BTCUSDT
2025-09-30 02:08:00.019,114430.0,0.1,BTCUSDT
2025-09-30 02:08:00.019,114430.0,0.001,BTCUSDT
2025-09-30 02:08:00.019,114429.9,0.002,BTCUSDT
2025-09-30 02:08:00.019,114429.6,0.001,BTCUSDT
2025-09-30 02:08:00.019,114429.6,0.002,BTCUSDT
2025-09-30 02:08:00.198,114429.3,0.156,BTCUSDT
2025-09-30 02:08:00.198,114429.3,0.006,BTCUSDT
2025-09-30 02:08:00.198,114429.3,0.002,BTCUSDT
2025-09-30 02:08:00.198,114429.3,0.002,BTCUSDT
2025-09-30 02:08:00.198,114429.2,0.001,BTCUSDT
2025-09-30 02:08:00.198,114429.2,0.001,BTCUSDT
2025-09-30 02:08:00.201,114429.0,0.001,BTCUSDT
2025-09-30 02:08:00.201,114429.0,0.002,BTCUSDT
2025-09-30 02:08:00.201,114429.0,0.001,BTCUSDT
2025-09-30 02:08:00.201,114428.9,0.023,BTCUSDT
2025-09-30 02:08:00.201,114428.4,0.002,BTCUSDT
2025-09-30 02:08:00.201,114428.1,0.003,BTCUSDT
2025-09-30 02:08:00.486,114427.8,0.002,BTCUSDT
2025-09-30 02:08:00.486,114427.8,0.021,BTCUSDT
2025-09-30 02:08:00.486,114427.8,0.002,BTCUSDT
2025-09-30 02:08:00.486,114427.8,0.001,BTCUSDT
2025-09-30 02:08:00.486,114427.8,0.002,BTCUSDT
2025-09-30 02:08:00.486,114427.7,0.001,BTCUSDT
2025-09-30 02:08:00.486,114427.7,0.001,BTCUSDT
2025-09-30 02:08:00.486,114427.7,0.001,BTCUSDT
2025-09-30 02:08:00.486,114427.5,0.001,BTCUSDT
2025-09-30 02:08:00.486,114427.5,0.002,BTCUSDT
2025-09-30 02:08:00.486,114427.5,0.001,BTCUSDT
2025-09-30 02:08:00.486,114427.4,0.002,BTCUSDT
2025-09-30 02:08:00.486,114427.2,0.002,BTCUSDT
2025-09-30 02:08:00.486,114426.8,0.002,BTCUSDT
2025-09-30 02:08:00.486,114426.6,0.002,BTCUSDT
2025-09-30 02:08:00.486,114426.3,0.065,BTCUSDT
2025-09-30 02:08:00.487,114426.2,0.002,BTCUSDT
2025-09-30 02:08:00.487,114426.0,0.001,BTCUSDT
2025-09-30 02:08:00.487,114426.0,0.002,BTCUSDT
2025-09-30 02:08:00.487,114425.9,0.027,BTCUSDT
2025-09-30 02:08:00.490,114425.7,0.036,BTCUSDT
2025-09-30 02:08:00.495,114425.7,0.003,BTCUSDT
2025-09-30 02:08:00.555,114425.7,0.001,BTCUSDT
2025-09-30 02:08:00.556,114425.7,0.001,BTCUSDT
2025-09-30 02:08:00.556,114425.7,0.002,BTCUSDT
2025-09-30 02:08:00.556,114425.7,0.003,BTCUSDT
2025-09-30 02:08:00.556,114425.6,0.002,BTCUSDT
2025-09-30 02:08:00.556,114425.6,0.001,BTCUSDT
